,diapostagem,hora,nomeBike,precoBike,cidade,bairro,urlBike
36,3 dez,10:32,Ferramenta de Reparo Macarrão Para Pneu Tubeless para Bike com Agulha ArStop,54.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/ferramenta-de-reparo-macarrao-para-pneu-tubeless-para-bike-com-agulha-arstop-909433819
37,,,,,,,
38,3 dez,10:10,bike aro 29 south,1149.0,Mogi das Cruzes, Vila Vitória - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-aro-29-south-964704394
39,3 dez,05:55,Cinelli Histogram Mash 2015 T.57 Bike Fixa Pista Track Raridade!,8500.0,Guarulhos, Parque Continental II - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cinelli-histogram-mash-2015-t-57-bike-fixa-pista-track-raridade-964633762
40,2 dez,13:04,Farol de Bike com Led e Buzina Recarregável resistente a água [Azul] ,45.0,São José dos Campos, Jardim Satélite - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/farol-de-bike-com-led-e-buzina-recarregavel-resistente-a-agua-azul-944418036
41,2 dez,11:30,Bicicleta MTB Audax Havok SX 21v 2021,2749.0,São Paulo, Indianópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-audax-havok-sx-21v-2021-852415505
42,2 dez,09:51,Sinalizador Dianteiro e Traseiro Vortex Bike Silicone Luz Noturna 2 Leds Branco e Vermelho,21.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/sinalizador-dianteiro-e-traseiro-vortex-bike-silicone-luz-noturna-2-leds-branco-e-vermelho-930648229
43,2 dez,09:45,Rolo De Treino Magnético Tsw Para Bicicleta (MTB e Speed),465.0,São Paulo, Indianópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rolo-de-treino-magnetico-tsw-para-bicicleta-mtb-e-speed-964202965
44,2 dez,09:23,Farol para Bicicletas Jws WS-112W com Super Led Cree T6 Bateria Recarregável de 6 células,125.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/farol-para-bicicletas-jws-ws-112w-com-super-led-cree-t6-bateria-recarregavel-de-6-celulas-930587776
45,1 dez,20:58,Cadeirinha Baby Bike Kalf,100.0,Guarulhos, Cidade Parque Alvorada - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cadeirinha-baby-bike-kalf-964052998
46,1 dez,20:02,Bike porta-malas ZX,450.0,São Paulo, Brooklin Paulista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-porta-malas-zx-964032838
47,1 dez,18:01, bike 26 dirt freeride,1500.0,Americana, Jardim Girassol - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-26-dirt-freeride-963983437
48,1 dez,16:43,Sinalizador Epic Line XC-782 Diant e Tras em Silicone com Led Luz Noturna de Segurança,9.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/sinalizador-epic-line-xc-782-diant-e-tras-em-silicone-com-led-luz-noturna-de-seguranca-935769856
49,1 dez,16:42,Sinalizador Diant e Tras Epic Line EPL-2215 Bike Luz Noturna com 2 Leds Branco e Vermelho,17.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/sinalizador-diant-e-tras-epic-line-epl-2215-bike-luz-noturna-com-2-leds-branco-e-vermelho-935767055
50,1 dez,16:18,Kit Chave Movimento Central Hollowtech com Ferramenta Extrator de Coroa Shimano,113.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/kit-chave-movimento-central-hollowtech-com-ferramenta-extrator-de-coroa-shimano-935252961
51,1 dez,11:55,Suporte bicicleta p/ parede - Novo e Original,60.0,Campinas, Vila Industrial - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/suporte-bicicleta-p-parede-novo-e-original-963774179
52,1 dez,11:04,Bike aro 29 nova nova nova,4100.0,Santo André, Centro - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-aro-29-nova-nova-nova-914163192
53,30 nov,19:25,Bike de Pista / Fixa RIDLEY Oval ,3900.0,São Paulo, Vila Sônia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-de-pista-fixa-ridley-oval-963468055
54,30 nov,17:01,Bike BTWIN ,2000.0,São Bernardo do Campo, Jardim do Mar - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-btwin-943817548
55,30 nov,12:18,Bicicleta Urbana Groove Cosmopolitan 7v 2021,2099.0,São Paulo, Indianópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-urbana-groove-cosmopolitan-7v-2021-921212986
56,30 nov,12:17,Bicicleta Urbana Feminina Groove Cosmopolitan Easy Step 7v 2021,2099.0,São Paulo, Indianópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-urbana-feminina-groove-cosmopolitan-easy-step-7v-2021-921212537
57,30 nov,01:36,Suporte para bike carro hatch ou sedan,100.0,Campo Limpo Paulista, Jardim Guanciale - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/suporte-para-bike-carro-hatch-ou-sedan-963041296
58,,,,,,,
59,,,,,,,
60,29 nov,19:38,Cadeirinha Bike Polisport Bilby Jr Ff Dianteira Cinza Prata,300.0,Atibaia, Condomínio Porto Atibaia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cadeirinha-bike-polisport-bilby-jr-ff-dianteira-cinza-prata-962955181
61,29 nov,18:31,Lanterna de Cabeça / Farol para Bike,105.0,Mauá, Jardim Quarto Centenário - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/lanterna-de-cabeca-farol-para-bike-943355122
62,29 nov,13:51,"Bike malas (NOVO, NUNCA USADO)",480.0,Mogi das Cruzes, Jardim Armênia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-malas-novo-nunca-usado-962766739
63,,,,,,,
64,29 nov,12:40,Par de cubos para bicicleta fixa + 2 pinhão,80.0,Ribeirão Preto, Jardim São Luiz - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/par-de-cubos-para-bicicleta-fixa-2-pinhao-962737042
65,29 nov,11:40,Rolo de bike Altmayer Sport,102.0,Santos, Gonzaga - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/rolo-de-bike-altmayer-sport-962705161
66,29 nov,10:08,Caloi 10 Single 1978,850.0,Santos, Aparecida - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-10-single-1978-962657907
67,29 nov,07:26,Bike fixa (Velocidade),3200.0,Jacareí, Parque Santo Antônio - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-fixa-velocidade-962609270
68,28 nov,20:01,Farol dianteiro para Bike com e sem Buzina LEd recarregal USB resistente agua,40.0,Tremembé - DDD 12, ,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/farol-dianteiro-para-bike-com-e-sem-buzina-led-recarregal-usb-resistente-agua-942954802
69,,,,,,,
70,28 nov,09:02,Lanternas De Segurança Bicicleta Bike - Dianteira Branca Traseira Vermelha,15.0,Sorocaba, Jardim Europa - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/lanternas-de-seguranca-bicicleta-bike-dianteira-branca-traseira-vermelha-962371613
71,27 nov,17:53,"Alinhador, centralizador de aro de bicicleta",265.0,Mogi das Cruzes, Jardim Cecília - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/alinhador-centralizador-de-aro-de-bicicleta-962282770
72,27 nov,15:47,Lanterna Sinalizador Traseiro Bike ,19.0,Mauá, Jardim Pedroso - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/lanterna-sinalizador-traseiro-bike-962253728
73,27 nov,10:48,quadro caloi 10 modificado para projeto de bike fixa tamanho 58,349.0,Nova Odessa, Jardim Santa Rita I - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/quadro-caloi-10-modificado-para-projeto-de-bike-fixa-tamanho-58-962152811
74,27 nov,08:55,Bicicletario para 2 bicicletas,80.0,São José do Rio Preto, Condomínio Residencial Parque da Liberdade III - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicletario-para-2-bicicletas-962116582
75,26 nov,08:44,Bike vikings aro 26 ,1000.0,Itu, Jardim Eridano - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-vikings-aro-26-961702681
76,25 nov,20:24,"Bicicleta bike fixa aro 26 , para aproveitar peças",100.0,Campinas, Vila Marieta - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-bike-fixa-aro-26-para-aproveitar-pecas-961571759
77,25 nov,15:59,Bicicleta First aro 29 - 24 marchas cassete e cambios Shimano - freios hidráulicos,1899.0,Santo André, Santa Terezinha - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-first-aro-29-24-marchas-cassete-e-cambios-shimano-freios-hidraulicos-954982764
78,25 nov,15:55,Bicicleta First aro 29 Kit coroa única com freios hidráulicos e suspensão com trava,2699.0,Santo André, Santa Terezinha - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-first-aro-29-kit-coroa-unica-com-freios-hidraulicos-e-suspensao-com-trava-955671795
79,25 nov,11:36,Bicicleta MTB Caloi Explorer Sport 24v 2021 Q3,2909.0,São Paulo, Indianópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-caloi-explorer-sport-24v-2021-q3-932582663
80,24 nov,23:03,Bicicletário P/chão P/3 Bikes - Expositor de Bicicletas,145.0,São José do Rio Preto, Conjunto Habitacional São Deocleciano - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicletario-p-chao-p-3-bikes-expositor-de-bicicletas-941342195
81,24 nov,22:01,Rack Wingbar Evo E Transbike De Teto Proride Thule,4320.0,São Paulo, Jardim Morumbi - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rack-wingbar-evo-e-transbike-de-teto-proride-thule-944178250
82,,,,,,,
83,24 nov,14:22,Pedivela para bicicleta ,39.0,São Paulo, Alto da Lapa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pedivela-para-bicicleta-960931391
84,24 nov,14:01,Bicicletário P/chão P/2 Bikes - Expositor de Bicicleta,80.0,São José do Rio Preto, Conjunto Habitacional São Deocleciano - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicletario-p-chao-p-2-bikes-expositor-de-bicicleta-941343975
85,23 nov,23:30,"Par De Rodas (650) ,26x 1.3/8- Fixa, caloi,monark,- Bike",399.0,São Paulo, Quinta da Paineira - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/par-de-rodas-650-26x-1-3-8-fixa-caloi-monark-bike-960675702
86,23 nov,22:32,Lanterna Bike Led USB (Recarregável),25.0,São Paulo, Vila Clementino - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/lanterna-bike-led-usb-recarregavel-934024193
87,23 nov,15:43,Sinalizador Diant e Tras Jws JY009 Bike Silicone Luz Noturna com 2 Leds Branco e Vermelho,17.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/sinalizador-diant-e-tras-jws-jy009-bike-silicone-luz-noturna-com-2-leds-branco-e-vermelho-931691043
88,23 nov,15:33,"Bicicletário, porta bike, suporte para 6 bikes bicicleta ",450.0,São José dos Campos, Jardim Esplanada - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicletario-porta-bike-suporte-para-6-bikes-bicicleta-912720136
89,23 nov,15:01,(Novo e Original ) Farol Bike Led com Buzina Recarregável Usb Com Garantia,50.0,São José dos Campos, Jardim Satélite - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/novo-e-original-farol-bike-led-com-buzina-recarregavel-usb-com-garantia-940948475
90,23 nov,14:59,Bike fixa/single speed ,1800.0,São Paulo, Perdizes - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-single-speed-960444844
91,23 nov,13:54,Kit Farol + Lanterna Led Recarregável USB,45.0,São Paulo, Vila Clementino - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/kit-farol-lanterna-led-recarregavel-usb-934025220
92,22 nov,19:09,Bike Speed Fixa ,2000.0,São Paulo, Parque Bristol - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-speed-fixa-960081792
93,,,,,,,
94,22 nov,15:42,Pezinho Para Bicicleta Descanso Lateral JWS Com Regulagem Preto Aro 20 até 29,33.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/pezinho-para-bicicleta-descanso-lateral-jws-com-regulagem-preto-aro-20-ate-29-931258599
95,22 nov,14:16,"Mala Bike 29 Curlo (Compatível com aros 26"", 27,5"" e 29"")",700.0,Caraguatatuba, Jardim Brasil - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/mala-bike-29-curlo-compativel-com-aros-26-27-5-e-29-959932659
96,22 nov,13:15,Kit 2 Sinalizadores Frente/Traseira de Bike ,20.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/kit-2-sinalizadores-frente-traseira-de-bike-959903434
97,22 nov,12:47,Kit Lanterna Dianteira Bicicleta WS-205 e Sinalizador Traseiro JY-918 JWS Recarregável,80.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/kit-lanterna-dianteira-bicicleta-ws-205-e-sinalizador-traseiro-jy-918-jws-recarregavel-945752121
98,22 nov,12:22,Kit Ciclocomputador WS-581 15 funções e Sinalizador Led JY-918 Recarregável,59.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/kit-ciclocomputador-ws-581-15-funcoes-e-sinalizador-led-jy-918-recarregavel-946252516
99,22 nov,12:21,Kit Ciclocomputador WS-581 15 funções Sinalizador Dian e Tras JY009 JWS Led,57.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/kit-ciclocomputador-ws-581-15-funcoes-sinalizador-dian-e-tras-jy009-jws-led-946254372
100,22 nov,00:02,Extensor pra Cambio Shimano/ Sram  Cassete de 42-50T  8-12s Cores,30.0,Campinas, Jardim Florence - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/extensor-pra-cambio-shimano-sram-cassete-de-42-50t-8-12s-cores-959710373
101,21 nov,23:54,Pneu Bike Mtb Aro 29 Paco Nomad Faixa Bege 29x2.10,90.0,Campinas, Jardim Florence - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/pneu-bike-mtb-aro-29-paco-nomad-faixa-bege-29x2-10-959709054
102,21 nov,23:47,Kit  Freio Disco Bike Bicicleta Pinça Discos 160mm Veloforce,80.0,Campinas, Jardim Florence - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/kit-freio-disco-bike-bicicleta-pinca-discos-160mm-veloforce-959707936
103,21 nov,23:41,Câmbio Shimano Traseiro Alívio Erd-M4000 9 velocidades,250.0,Campinas, Jardim Florence - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/cambio-shimano-traseiro-alivio-erd-m4000-9-velocidades-959706764
104,21 nov,23:31,Garfo Suspensão Mtb Aro 29 Zt3 Com Trava Ombro Aço E Aluminio,200.0,Campinas, Jardim Florence - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/garfo-suspensao-mtb-aro-29-zt3-com-trava-ombro-aco-e-aluminio-959705862
105,21 nov,21:47,Quadro alumínio aro 26 mtb,299.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-aluminio-aro-26-mtb-959690404
106,21 nov,16:00,bike bicicleta fixa pra sair logo ,750.0,São Paulo, Aclimação - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-bicicleta-fixa-pra-sair-logo-959602951
107,21 nov,13:36,Peças para bike.,250.0,Taubaté, Jardim Sandra Maria - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/pecas-para-bike-959558202
108,20 nov,22:01,Bike  Fleetyle aro 20,660.0,São Bernardo do Campo, Taboão - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fleetyle-aro-20-951221828
109,,,,,,,
110,20 nov,16:55,Bicicleta Fuji Nevada 1.5 aro 29 com suspensão dianteira Suntour e kit Shimano,2800.0,São Paulo, Sumaré - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fuji-nevada-1-5-aro-29-com-suspensao-dianteira-suntour-e-kit-shimano-959355128
111,20 nov,16:31,Lanterna p/ Bicicleta Luz Vermelha e Branca Recarregável USB,45.0,Barueri, Vila São Silvestre - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/lanterna-p-bicicleta-luz-vermelha-e-branca-recarregavel-usb-939645748
0,30 nov,10:40,BikeFixa Raf ,2600.0,Curitiba, Centro Cívico - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bikefixa-raf-963211951
0,Hoje,14:51,Bicicleta Ceci 80 Vintage (restaurada) + Kit Nexus Shimano 3 marchas,1200.0,Maringá, Parque Residencial Quebec - DDD 44,https://pr.olx.com.br/regiao-de-maringa/ciclismo/bicicleta-ceci-80-vintage-restaurada-kit-nexus-shimano-3-marchas-965749769
1,22 nov,18:08,Cubo nexus  shimano  3 marchas interna.,450.0,Curitiba, Bigorrilho - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/cubo-nexus-shimano-3-marchas-interna-960054543
2,,,,,,,
3,,,,,,,
4,18 nov,15:36,Bicicleta Retro Antonella  - Pérola ,2150.0,Curitiba, Mercês - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-retro-antonella-perola-958441274
5,14 nov,12:14,Bicicleta monareta,1500.0,Paranavaí, Jardim Iguaçu - DDD 44,https://pr.olx.com.br/regiao-de-maringa/ciclismo/bicicleta-monareta-948616309
6,10 nov,17:03,Bicicleta Vintage Antonella Nathor,1700.0,Ponta Grossa, Orfãs - DDD 42,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/ciclismo/bicicleta-vintage-antonella-nathor-955224244
7,,,,,,,
8,7 nov,10:05,Caloi 10 single muito nova,1500.0,Maringá, Jardim Paris - DDD 44,https://pr.olx.com.br/regiao-de-maringa/ciclismo/caloi-10-single-muito-nova-953737059
9,5 nov,18:20,Bicicleta Ele?trica Sense Easy,4490.0,Bela Vista do Paraíso - DDD 43, ,https://pr.olx.com.br/regiao-de-londrina/ciclismo/bicicleta-ele-trica-sense-easy-953225791
10,3 nov,10:44,Bicicleta Triumph (ZEG) tipo Holandesa com Shimano Nexus3,1650.0,Curitiba, Juvevê - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-triumph-zeg-tipo-holandesa-com-shimano-nexus3-927790832
0,Ontem,18:18,bicicleta speed tsw tr20 shimano 105,4799.0,Pinhais, Estância Pinhais - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-speed-tsw-tr20-shimano-105-951206726
1,Ontem,14:11,Capacetes para Bike ,90.0,Curitiba, Uberaba - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/capacetes-para-bike-965408295
2,,,,,,,
3,,,,,,,
4,4 dez,18:43,Bike fixa vicinitech pista NOVA,2950.0,Curitiba, Portão - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bike-fixa-vicinitech-pista-nova-965242093
5,3 dez,15:28,Speed vicinitech 18v,3500.0,Piraquara, Vila Juliana - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/speed-vicinitech-18v-962825936
6,1 dez,13:31,Bike fixa pista Vicinitech Pista V1 TAM 53,2900.0,Curitiba, Juvevê - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bike-fixa-pista-vicinitech-pista-v1-tam-53-955705441
7,,,,,,,
8,1 dez,11:50,Bike Aro 29 Carbono ,8999.0,Maringá, Jardim Lucianópolis - DDD 44,https://pr.olx.com.br/regiao-de-maringa/ciclismo/bike-aro-29-carbono-962018595
9,1 dez,10:24,Bike Mtb Gt Avalanche 29? 1x11v,7500.0,São José dos Pinhais, Itália - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bike-mtb-gt-avalanche-29-1x11v-963724154
10,29 nov,22:15,Quadro Vicinitech Garfo Carbono,1100.0,Apucarana, Centro - DDD 43,https://pr.olx.com.br/regiao-de-londrina/ciclismo/quadro-vicinitech-garfo-carbono-963011085
11,29 nov,16:06,Capacete speed vicinitech elite,120.0,Piraquara, Vila Juliana - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/capacete-speed-vicinitech-elite-962863160
12,29 nov,13:36,MTB Vicinitech 29 ,6000.0,Curitiba, Cidade Industrial - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/mtb-vicinitech-29-962761124
13,,,,,,,
14,28 nov,15:31,vendo guidão bike Gravel,120.0,Pinhais, Jardim Amélia - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vendo-guidao-bike-gravel-954127249
15,26 nov,18:18,Bicicleta vicinitech pista v7,3200.0,Curitiba, Fazendinha - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-vicinitech-pista-v7-961966138
16,25 nov,01:17,Vicini 29 1x11 Quadro 17,5000.0,Curitiba, Lindóia - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vicini-29-1x11-quadro-17-915323353
17,24 nov,18:07,"Bomba de ar para bike, e capacete ciclismo.",90.0,São José dos Pinhais, Cruzeiro - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bomba-de-ar-para-bike-e-capacete-ciclismo-961049955
18,23 nov,18:42,Bicicleta ,3399.0,Quatro Barras - DDD 41, ,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-960582585
19,23 nov,17:44,Mtb carbono vicinitech com slx e deore,7000.0,Curitiba, Guabirotuba - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/mtb-carbono-vicinitech-com-slx-e-deore-960556928
20,23 nov,14:53,Vicinitech pista v1 ,2500.0,Curitiba, Guaíra - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vicinitech-pista-v1-960441632
21,18 nov,19:49,Speed fixa ,2850.0,Curitiba, Uberaba - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/speed-fixa-958559261
22,11 nov,12:45,Speed  vicinitech space pro 50  7.8kg,4200.0,Colombo, Mauá - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/speed-vicinitech-space-pro-50-7-8kg-955628111
23,9 nov,16:02,comp vicinitech,10.0,Curitiba, Centro - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/comp-vicinitech-954725236
24,9 nov,15:25,comp vicinitech,10.0,Curitiba, Centro - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/comp-vicinitech-954701007
25,3 nov,11:49,Bicicleta Speed Giant TCR Advanced T-Mobile,7900.0,Campo Largo, Bom Jesus - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-speed-giant-tcr-advanced-t-mobile-938895356
26,,,,,,,
0,Hoje,15:31,Pedivela sugino ,245.0,Curitiba, Jardim das Américas - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/pedivela-sugino-959900447
1,Hoje,14:59,"Bicicleta TSW Full Quest TR Starter Vermelha XL21""",19999.0,Curitiba, Bigorrilho - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-tsw-full-quest-tr-starter-vermelha-xl21-937490199
2,,,,,,,
3,,,,,,,
4,Ontem,18:01,Pedivela ,145.0,Curitiba, Jardim das Américas - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/pedivela-957757272
5,Ontem,17:43,hupi whistler 2019 polido,1900.0,Piraquara, Guarituba - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/hupi-whistler-2019-polido-965458300
6,4 dez,13:31,Vendo viking X Tuff 25,900.0,Curitiba, Xaxim - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vendo-viking-x-tuff-25-954070522
7,,,,,,,
8,3 dez,10:53,Tsw Full Quest Advanced-Gx sram Rockshox M17 Nova,27000.0,Curitiba, Bigorrilho - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/tsw-full-quest-advanced-gx-sram-rockshox-m17-nova-964722766
9,3 dez,09:46,"Kit pedivela, K7, trocador e câmbio 12v.",1100.0,Curitiba, Sítio Cercado - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/kit-pedivela-k7-trocador-e-cambio-12v-964693002
10,30 nov,11:27,VENDO ou TROCO esta bike por uma BMX,1300.0,Curitiba, Xaxim - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vendo-ou-troco-esta-bike-por-uma-bmx-963239015
11,30 nov,10:19,guidon e manetes ,200.0,São José dos Pinhais, Santo Antônio - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/guidon-e-manetes-963200121
12,29 nov,15:02,Bicicleta Clássica Caloi Cruiser ,1200.0,Curitiba, Cristo Rei - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/bicicleta-classica-caloi-cruiser-962823255
13,,,,,,,
14,29 nov,10:41,"TSW Full Quest TR Starter Chameleon XL21"" Rockshox Nova",19999.0,Curitiba, Bigorrilho - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/tsw-full-quest-tr-starter-chameleon-xl21-rockshox-nova-946765801
15,28 nov,17:08,"Vende-se (2 dois) (A) e (B) R$10.500,00 Cada um.",10500.0,São José dos Pinhais, Cidade Jardim - DDD 41,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/ciclismo/vende-se-2-dois-a-e-b-r-10-500-00-cada-um-959894220
16,28 nov,16:31,01 BIKE RETRO<br><br>Extremamente Leve.<br><br>Peso 10kg ,1800.0,Campo Mourão, Centro - DDD 44,https://pr.olx.com.br/regiao-de-maringa/ciclismo/01-bike-retro-br-br-extremamente-leve-br-br-peso-10kg-942788012
